step,time_days,date,dt_days,converged,nonlinear_iters,wall_s,well,status,qO_sm3d,qW_sm3d,qG_sm3d,bhp_bar
1,1.000,1967-02-02,1.000,1,29,639.16,INJ,1,0.000000,787.136099,0.000000,433.869252
1,1.000,1967-02-02,1.000,1,29,639.16,P1,1,-155.254784,-0.251092,0.000000,275.790292
1,1.000,1967-02-02,1.000,1,29,639.16,P2,1,-239.833428,-0.384836,0.000000,275.790292
1,1.000,1967-02-02,1.000,1,29,639.16,P3,1,-469.050419,-0.785199,0.000000,275.790292
1,1.000,1967-02-02,1.000,1,29,639.16,P4,1,-288.780266,-0.459621,0.000000,275.790292
2,3.000,1967-02-04,2.000,1,24,529.14,INJ,1,0.000000,786.907145,0.000000,429.165208
2,3.000,1967-02-04,2.000,1,24,529.14,P1,1,-138.487686,-0.198496,0.000000,275.790292
2,3.000,1967-02-04,2.000,1,24,529.14,P2,1,-223.691990,-0.304045,0.000000,275.790292
2,3.000,1967-02-04,2.000,1,24,529.14,P3,1,-409.935738,-0.647430,0.000000,275.790292
2,3.000,1967-02-04,2.000,1,24,529.14,P4,1,-236.830261,-0.353142,0.000000,275.790292
3,6.000,1967-02-07,3.000,1,21,464.30,INJ,1,0.000000,786.693257,0.000000,421.575195
3,6.000,1967-02-07,3.000,1,21,464.30,P1,1,-128.902430,-0.171968,0.000000,275.790292
3,6.000,1967-02-07,3.000,1,21,464.30,P2,1,-211.324102,-0.257227,0.000000,275.790292
3,6.000,1967-02-07,3.000,1,21,464.30,P3,1,-386.755647,-0.582343,0.000000,275.790292
3,6.000,1967-02-07,3.000,1,21,464.30,P4,1,-220.361256,-0.318472,0.000000,275.790292
4,10.000,1967-02-11,4.000,1,9,247.10,INJ,1,0.000000,786.473087,0.000000,414.071474
4,10.000,1967-02-11,4.000,1,9,247.10,P1,1,-121.273003,-0.153624,0.000000,275.790292
4,10.000,1967-02-11,4.000,1,9,247.10,P2,1,-200.297296,-0.226128,0.000000,275.790292
4,10.000,1967-02-11,4.000,1,9,247.10,P3,1,-368.727822,-0.534161,0.000000,275.790292
4,10.000,1967-02-11,4.000,1,9,247.10,P4,1,-208.882092,-0.295724,0.000000,275.790292
5,15.000,1967-02-16,5.000,1,9,249.89,INJ,1,0.000000,786.265529,0.000000,407.680563
5,15.000,1967-02-16,5.000,1,9,249.89,P1,1,-115.264666,-0.140153,0.000000,275.790292
5,15.000,1967-02-16,5.000,1,9,249.89,P2,1,-191.195670,-0.205458,0.000000,275.790292
5,15.000,1967-02-16,5.000,1,9,249.89,P3,1,-354.285827,-0.495512,0.000000,275.790292
5,15.000,1967-02-16,5.000,1,9,249.89,P4,1,-199.748404,-0.277646,0.000000,275.790292
6,20.000,1967-02-21,5.000,1,9,237.59,INJ,1,0.000000,786.089168,0.000000,403.351661
6,20.000,1967-02-21,5.000,1,9,237.59,P1,1,-111.408609,-0.131624,0.000000,275.790292
6,20.000,1967-02-21,5.000,1,9,237.59,P2,1,-185.216337,-0.193190,0.000000,275.790292
6,20.000,1967-02-21,5.000,1,9,237.59,P3,1,-345.256335,-0.468777,0.000000,275.790292
6,20.000,1967-02-21,5.000,1,9,237.59,P4,1,-193.875793,-0.265147,0.000000,275.790292
7,30.000,1967-03-03,10.000,1,9,267.83,INJ,1,0.000000,785.970699,0.000000,398.379743
7,30.000,1967-03-03,10.000,1,9,267.83,P1,1,-107.305609,-0.121870,0.000000,275.790292
7,30.000,1967-03-03,10.000,1,9,267.83,P2,1,-178.744220,-0.179104,0.000000,275.790292
7,30.000,1967-03-03,10.000,1,9,267.83,P3,1,-336.263738,-0.454064,0.000000,275.790292
7,30.000,1967-03-03,10.000,1,9,267.83,P4,1,-187.812620,-0.249248,0.000000,275.790292
8,40.000,1967-03-13,10.000,1,7,204.45,INJ,1,0.000000,785.838249,0.000000,395.727527
8,40.000,1967-03-13,10.000,1,7,204.45,P1,1,-105.402569,-0.116129,0.000000,275.790292
8,40.000,1967-03-13,10.000,1,7,204.45,P2,1,-175.672832,-0.170442,0.000000,275.790292
8,40.000,1967-03-13,10.000,1,7,204.45,P3,1,-331.651654,-1.279652,0.000000,275.790292
8,40.000,1967-03-13,10.000,1,7,204.45,P4,1,-185.294933,-0.239139,0.000000,275.790292
9,60.000,1967-04-02,20.000,1,11,331.91,INJ,1,0.000000,785.772844,0.000000,392.488516
9,60.000,1967-04-02,20.000,1,11,331.91,P1,1,-103.495436,-0.108186,0.000000,275.790292
9,60.000,1967-04-02,20.000,1,11,331.91,P2,1,-172.487648,-0.158580,0.000000,275.790292
9,60.000,1967-04-02,20.000,1,11,331.91,P3,1,-317.180137,-14.436449,0.000000,275.790292
9,60.000,1967-04-02,20.000,1,11,331.91,P4,1,-183.593456,-0.225046,0.000000,275.790292
10,80.000,1967-04-22,20.000,1,10,304.48,INJ,1,0.000000,785.702721,0.000000,389.876225
10,80.000,1967-04-22,20.000,1,10,304.48,P1,1,-102.037098,-0.102426,0.000000,275.790292
10,80.000,1967-04-22,20.000,1,10,304.48,P2,1,-169.953633,-0.153000,0.000000,275.790292
10,80.000,1967-04-22,20.000,1,10,304.48,P3,1,-300.175046,-35.916745,0.000000,275.790292
10,80.000,1967-04-22,20.000,1,10,304.48,P4,1,-182.520489,-0.233896,0.000000,275.790292
11,110.000,1967-05-22,30.000,1,12,370.79,INJ,1,0.000000,785.647149,0.000000,386.424335
11,110.000,1967-05-22,30.000,1,12,370.79,P1,1,-99.918572,-0.097437,0.000000,275.790292
